Source,Relation,Target
BIOTECH_TRIAL:NCT02644369,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT02644369,TARGETS_BIOMARKER,PD-L1
BIOTECH_TRIAL:NCT02644369,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02644369,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT02644369,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT03225365,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT03225365,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03225365,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT03225365,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT05654623,USES_DRUG_TYPE,HORMONAL
BIOTECH_TRIAL:NCT05654623,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05654623,HAS_DRUG_CLASS,Hormonal therapy
BIOTECH_TRIAL:NCT02955394,USES_DRUG_TYPE,HORMONAL
BIOTECH_TRIAL:NCT02955394,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02955394,HAS_DRUG_CLASS,Hormonal therapy
BIOTECH_TRIAL:NCT02162719,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT02162719,TARGETS_BIOMARKER,AKT
BIOTECH_TRIAL:NCT02162719,TARGETS_BIOMARKER,PTEN
BIOTECH_TRIAL:NCT02162719,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02162719,HAS_DRUG_CLASS,Kinase inhibitor
BIOTECH_TRIAL:NCT05714553,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT05714553,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05714553,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT05714553,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02662725,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT02662725,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT02662725,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT06612203,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT06612203,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT06612203,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT04485013,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT04485013,TARGETS_BIOMARKER,EGFR
BIOTECH_TRIAL:NCT04485013,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT04485013,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT03170960,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT03170960,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT03170960,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT03170960,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT03186937,USES_DRUG_TYPE,CELLULAR
BIOTECH_TRIAL:NCT03186937,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05181462,USES_DRUG_TYPE,PROTEIN
BIOTECH_TRIAL:NCT05181462,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05181462,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT01977651,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT01977651,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT06022029,USES_DRUG_TYPE,IMMUNO
BIOTECH_TRIAL:NCT06022029,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT05274451,USES_DRUG_TYPE,CELLULAR
BIOTECH_TRIAL:NCT05274451,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05209529,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT05209529,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05209529,HAS_DRUG_CLASS,PARP inhibitor
BIOTECH_TRIAL:NCT05209529,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT06797635,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT06797635,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT06797635,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT06797635,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT04243616,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT04243616,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04243616,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT05230186,USES_DRUG_TYPE,CELLULAR
BIOTECH_TRIAL:NCT05230186,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT05230186,INVOLVES_PATHWAY,Immune checkpoint
BIOTECH_TRIAL:NCT04149275,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT04149275,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04149275,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT04149275,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT02419495,USES_DRUG_TYPE,PROTEIN
BIOTECH_TRIAL:NCT02419495,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT01530984,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT01530984,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT01530984,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT01750983,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT01750983,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT01750983,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT04750382,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT04750382,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT01740297,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT01740297,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT01740297,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT04508803,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT04508803,TARGETS_BIOMARKER,BRCA1
BIOTECH_TRIAL:NCT04508803,TARGETS_BIOMARKER,PARP
BIOTECH_TRIAL:NCT04508803,TARGETS_BIOMARKER,PTEN
BIOTECH_TRIAL:NCT04508803,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT04508803,HAS_DRUG_CLASS,PARP inhibitor
BIOTECH_TRIAL:NCT04508803,HAS_DRUG_CLASS,Kinase inhibitor
BIOTECH_TRIAL:NCT02734290,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT02734290,HAS_DRUG_CLASS,Checkpoint inhibitor
BIOTECH_TRIAL:NCT02734290,HAS_DRUG_CLASS,Antibody
BIOTECH_TRIAL:NCT03336983,USES_DRUG_TYPE,TARGETED_BIOLOGIC_SMALL_MOLECULE
BIOTECH_TRIAL:NCT06920810,USES_DRUG_TYPE,ANTIBODY
BIOTECH_TRIAL:NCT06920810,TARGETS_BIOMARKER,AR
BIOTECH_TRIAL:NCT06920810,INVOLVES_PATHWAY,Immune checkpoint
BIOTECH_TRIAL:NCT06920810,HAS_DRUG_CLASS,Checkpoint inhibitor
